source_record_id,max_score,second_score,score_margin,predicted_label_count,predicted_labels,confidence,decision,provenance,lsr_prob_bypassing_safety_controls,lsr_prob_confined_space,lsr_prob_driving,lsr_prob_energy_isolation,lsr_prob_hot_work,lsr_prob_line_of_fire,lsr_prob_safe_mechanical_lifting,lsr_prob_work_authorization,lsr_prob_working_at_height
20181010877,0.9888,0.0091,0.9797,1,Driving,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0028,0.0026,0.9888,0.003,0.0091,0.0043,0.0016,0.0018,0.0004
20181010901,0.2512,0.0138,0.2374,1,Line of Fire,LOW,REJECTED_LOW_CONFIDENCE,UNKNOWN,0.0015,0.0002,0.0001,0.013,0.0001,0.2512,0.0138,0.0001,0.0016
20181010910,0.0522,0.0153,0.0369,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0,0.0002,0.0153,0.0,0.0063,0.0005,0.0,0.0522
20181010956,0.9975,0.9305,0.067,2,Driving | Working at Height,MEDIUM,SENT_TO_HUMAN_REVIEW,UNKNOWN,0.0003,0.0003,0.9975,0.0003,0.0015,0.0009,0.0031,0.0023,0.9305
20181011005,0.0542,0.0127,0.0415,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0002,0.0011,0.0005,0.0036,0.0006,0.001,0.0127,0.0053,0.0542
20181011009,0.0172,0.0046,0.0126,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0001,0.0,0.0001,0.0046,0.0,0.0,0.0001,0.0172
20181011019,0.0151,0.0063,0.0088,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0001,0.0,0.0006,0.0006,0.0001,0.0151,0.0063,0.0,0.0002
20181011024,0.0045,0.0004,0.0041,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0002,0.0004,0.0001,0.0001,0.0003,0.0,0.0,0.0045
20181011025,0.0043,0.0002,0.0041,0,NONE,NO_PREDICTION,REJECTED_ZERO_LABELS,UNKNOWN,0.0,0.0001,0.0,0.0043,0.0002,0.0001,0.0,0.0,0.0001
20181011101,0.9998,0.0641,0.9357,1,Hot Work,HIGH,ACCEPT_MODEL_PREDICTED,MODEL_PREDICTED,0.0,0.0641,0.0,0.035,0.9998,0.0008,0.0005,0.0063,0.0002
